PC_Timestamp,ECG
2026-06-18 11:36:48.717211,-23.57
2026-06-18 11:36:48.717211,28.28
2026-06-18 11:36:48.732802,99.78
2026-06-18 11:36:48.734845,93.31
2026-06-18 11:36:48.747139,-7.65
2026-06-18 11:36:48.747139,-118.05
2026-06-18 11:36:48.764699,-123.43
2026-06-18 11:36:48.772428,-44.21
2026-06-18 11:36:48.780326,15.71
2026-06-18 11:36:48.784703,23.59
2026-06-18 11:36:48.796267,12.53
2026-06-18 11:36:48.801198,15.45
2026-06-18 11:36:48.812002,9.4
2026-06-18 11:36:48.817610,-0.59
2026-06-18 11:36:48.828113,-12.53
2026-06-18 11:36:48.834292,-10.48
2026-06-18 11:36:48.834292,6.49
2026-06-18 11:36:48.847489,4.47
2026-06-18 11:36:48.847489,-38.34
2026-06-18 11:36:48.865138,-55.06
2026-06-18 11:36:48.868879,-41.85
2026-06-18 11:36:48.881040,-19.75
2026-06-18 11:36:48.881040,-8.71
2026-06-18 11:36:48.898120,11.23
2026-06-18 11:36:48.900541,57.94
2026-06-18 11:36:48.913043,90.49
2026-06-18 11:36:48.920721,79.09
2026-06-18 11:36:48.929043,36.9
2026-06-18 11:36:48.929932,28.76
2026-06-18 11:36:48.945279,43.54
2026-06-18 11:36:48.950542,45.31
2026-06-18 11:36:48.950542,9.27
2026-06-18 11:36:48.967982,-21.62
2026-06-18 11:36:48.975979,-35.45
2026-06-18 11:36:48.981990,-46.21
2026-06-18 11:36:48.981990,-63.89
2026-06-18 11:36:48.998277,-50.64
2026-06-18 11:36:48.998277,-15.56
2026-06-18 11:36:49.014647,31.28
2026-06-18 11:36:49.018093,43.07
2026-06-18 11:36:49.029993,19.97
2026-06-18 11:36:49.031971,9.92
2026-06-18 11:36:49.046514,10.86
2026-06-18 11:36:49.047945,4.84
2026-06-18 11:36:49.062319,-17.08
2026-06-18 11:36:49.065322,-21.97
2026-06-18 11:36:49.078279,-22.85
2026-06-18 11:36:49.084951,-38.66
2026-06-18 11:36:49.092198,-61.35
2026-06-18 11:36:49.097383,-68.01
2026-06-18 11:36:49.097383,-54.73
2026-06-18 11:36:49.114305,-23.61
2026-06-18 11:36:49.118335,-19.52
2026-06-18 11:36:49.131315,-17.43
2026-06-18 11:36:49.131315,4.55
2026-06-18 11:36:49.147431,26.42
2026-06-18 11:36:49.150946,48.17
2026-06-18 11:36:49.163016,55.89
2026-06-18 11:36:49.164011,41.68
2026-06-18 11:36:49.178635,8.64
2026-06-18 11:36:49.186675,-19.26
2026-06-18 11:36:49.194703,-29.12
2026-06-18 11:36:49.201756,-20.02
2026-06-18 11:36:49.201756,-3.0
2026-06-18 11:36:49.213868,10.94
2026-06-18 11:36:49.218538,7.9
2026-06-18 11:36:49.233622,6.87
2026-06-18 11:36:49.234669,-21.02
2026-06-18 11:36:49.247664,-28.88
2026-06-18 11:36:49.247664,1.11
2026-06-18 11:36:49.264006,33.94
2026-06-18 11:36:49.264006,46.71
2026-06-18 11:36:49.280289,24.59
2026-06-18 11:36:49.281290,-9.37
2026-06-18 11:36:49.296498,-37.18
2026-06-18 11:36:49.304259,-48.93
2026-06-18 11:36:49.311792,-58.64
2026-06-18 11:36:49.318843,-50.39
2026-06-18 11:36:49.328109,-26.25
2026-06-18 11:36:49.330969,-17.17
2026-06-18 11:36:49.330969,-46.93
2026-06-18 11:36:49.346780,-51.67
2026-06-18 11:36:49.346780,-12.61
2026-06-18 11:36:49.364229,39.19
2026-06-18 11:36:49.364229,39.99
2026-06-18 11:36:49.381188,17.9
2026-06-18 11:36:49.381188,35.72
2026-06-18 11:36:49.397812,93.25
2026-06-18 11:36:49.397812,125.62
2026-06-18 11:36:49.413107,88.18
2026-06-18 11:36:49.419074,11.12
2026-06-18 11:36:49.428585,-40.67
2026-06-18 11:36:49.436846,-50.42
2026-06-18 11:36:49.444873,-35.24
2026-06-18 11:36:49.446892,-17.15
2026-06-18 11:36:49.446892,-26.02
2026-06-18 11:36:49.467881,-31.86
2026-06-18 11:36:49.476042,-37.67
2026-06-18 11:36:49.483076,-29.53
2026-06-18 11:36:49.491617,-0.52
2026-06-18 11:36:49.499431,20.37
2026-06-18 11:36:49.507267,24.25
2026-06-18 11:36:49.514555,27.12
2026-06-18 11:36:49.519633,48.87
2026-06-18 11:36:49.530784,67.53
2026-06-18 11:36:49.531746,66.2
2026-06-18 11:36:49.546383,41.99
2026-06-18 11:36:49.547771,26.85
2026-06-18 11:36:49.562046,16.77
2026-06-18 11:36:49.564719,4.74
2026-06-18 11:36:49.578138,-14.18
2026-06-18 11:36:49.580932,3.8
2026-06-18 11:36:49.580932,16.71
2026-06-18 11:36:49.597441,22.6
2026-06-18 11:36:49.597441,30.45
2026-06-18 11:36:49.614514,38.25
2026-06-18 11:36:49.620335,32.09
2026-06-18 11:36:49.632077,10.04
2026-06-18 11:36:49.636192,-0.95
2026-06-18 11:36:49.647552,-9.9
2026-06-18 11:36:49.648344,-32.74
2026-06-18 11:36:49.664036,-57.45
2026-06-18 11:36:49.665526,-65.12
2026-06-18 11:36:49.679144,-29.97
2026-06-18 11:36:49.680571,14.95
2026-06-18 11:36:49.694861,17.86
2026-06-18 11:36:49.697557,2.85
2026-06-18 11:36:49.697557,41.64
2026-06-18 11:36:49.713267,154.86
2026-06-18 11:36:49.720644,211.8
2026-06-18 11:36:49.732582,150.04
2026-06-18 11:36:49.732582,23.92
2026-06-18 11:36:49.748865,-43.86
2026-06-18 11:36:49.748865,-18.76
2026-06-18 11:36:49.764164,1.23
2026-06-18 11:36:49.764164,-34.59
2026-06-18 11:36:49.780206,-71.24
2026-06-18 11:36:49.780206,-75.86
2026-06-18 11:36:49.795849,-64.53
2026-06-18 11:36:49.796485,-56.25
2026-06-18 11:36:49.811653,-45.02
2026-06-18 11:36:49.819641,-11.96
2026-06-18 11:36:49.826903,9.99
2026-06-18 11:36:49.834834,35.81
2026-06-18 11:36:49.843161,45.58
2026-06-18 11:36:49.847436,50.33
2026-06-18 11:36:49.847436,28.18
2026-06-18 11:36:49.863659,-16.73
2026-06-18 11:36:49.863659,-41.52
2026-06-18 11:36:49.880766,-45.3
2026-06-18 11:36:49.880766,-43.08
2026-06-18 11:36:49.897677,-39.88
2026-06-18 11:36:49.897677,-34.7
2026-06-18 11:36:49.912785,-15.63
2026-06-18 11:36:49.921163,-0.62
2026-06-18 11:36:49.928558,6.35
2026-06-18 11:36:49.931467,19.25
2026-06-18 11:36:49.944769,29.1
2026-06-18 11:36:49.952654,45.87
2026-06-18 11:36:49.960657,42.66
2026-06-18 11:36:49.967019,26.52
2026-06-18 11:36:49.967019,1.52
2026-06-18 11:36:49.980905,-3.47
2026-06-18 11:36:49.980905,-5.44
2026-06-18 11:36:49.999063,-28.3
2026-06-18 11:36:50.007088,-60.0
2026-06-18 11:36:50.012992,-72.63
2026-06-18 11:36:50.021251,-80.23
2026-06-18 11:36:50.029765,-74.85
2026-06-18 11:36:50.037264,-63.53
2026-06-18 11:36:50.045780,-35.35
2026-06-18 11:36:50.053742,-0.35
2026-06-18 11:36:50.061119,4.62
2026-06-18 11:36:50.063287,-5.35
2026-06-18 11:36:50.063287,-12.29
2026-06-18 11:36:50.079418,2.7
2026-06-18 11:36:50.079418,13.63
2026-06-18 11:36:50.099216,18.54
2026-06-18 11:36:50.099216,8.5
2026-06-18 11:36:50.112688,-8.46
2026-06-18 11:36:50.121511,-27.32
2026-06-18 11:36:50.131477,-35.15
2026-06-18 11:36:50.134473,-35.97
2026-06-18 11:36:50.146212,-18.87
2026-06-18 11:36:50.146212,-12.81
2026-06-18 11:36:50.163305,-24.68
2026-06-18 11:36:50.163656,-18.59
2026-06-18 11:36:50.177974,7.37
2026-06-18 11:36:50.185016,46.14
2026-06-18 11:36:50.194448,56.85
2026-06-18 11:36:50.202218,30.7
2026-06-18 11:36:50.204236,-3.28
2026-06-18 11:36:50.213018,-11.23
2026-06-18 11:36:50.221685,-10.18
2026-06-18 11:36:50.232041,-10.12
2026-06-18 11:36:50.238143,-22.01
2026-06-18 11:36:50.246023,-26.88
2026-06-18 11:36:50.246023,-38.68
2026-06-18 11:36:50.263260,-37.5
2026-06-18 11:36:50.263260,-21.39
2026-06-18 11:36:50.279714,-2.38
2026-06-18 11:36:50.279714,9.58
2026-06-18 11:36:50.295572,3.56
2026-06-18 11:36:50.303891,16.47
2026-06-18 11:36:50.311679,32.31
2026-06-18 11:36:50.314694,40.11
2026-06-18 11:36:50.327967,34.93
2026-06-18 11:36:50.330694,24.81
2026-06-18 11:36:50.330694,16.73
2026-06-18 11:36:50.347213,12.66
2026-06-18 11:36:50.347213,-5.31
2026-06-18 11:36:50.366154,-16.23
2026-06-18 11:36:50.372674,-15.15
2026-06-18 11:36:50.380680,-13.09
2026-06-18 11:36:50.380680,-5.06
2026-06-18 11:36:50.397306,0.93
2026-06-18 11:36:50.397306,6.9
2026-06-18 11:36:50.412678,2.88
2026-06-18 11:36:50.414317,15.8
2026-06-18 11:36:50.429226,20.7
2026-06-18 11:36:50.431207,16.62
2026-06-18 11:36:50.445237,10.56
2026-06-18 11:36:50.448125,15.49
2026-06-18 11:36:50.458036,25.36
2026-06-18 11:36:50.467489,26.23
2026-06-18 11:36:50.475678,-2.76
2026-06-18 11:36:50.483583,-30.61
2026-06-18 11:36:50.483583,-51.35
2026-06-18 11:36:50.497301,-54.08
2026-06-18 11:36:50.497301,-49.83
2026-06-18 11:36:50.514485,-12.76
2026-06-18 11:36:50.522702,39.04
2026-06-18 11:36:50.530248,44.82
2026-06-18 11:36:50.535477,26.68
2026-06-18 11:36:50.545899,7.65
2026-06-18 11:36:50.546856,14.57
2026-06-18 11:36:50.561599,8.53
2026-06-18 11:36:50.569580,-22.36
2026-06-18 11:36:50.578337,-51.1
2026-06-18 11:36:50.584715,-46.87
2026-06-18 11:36:50.592065,-31.71
2026-06-18 11:36:50.596860,-16.62
2026-06-18 11:36:50.596860,-15.55
2026-06-18 11:36:50.613918,4.43
2026-06-18 11:36:50.622945,10.38
2026-06-18 11:36:50.631303,15.3
2026-06-18 11:36:50.635516,10.25
2026-06-18 11:36:50.647413,7.22
2026-06-18 11:36:50.647413,15.14
2026-06-18 11:36:50.663606,23.02
2026-06-18 11:36:50.664607,34.85
2026-06-18 11:36:50.678721,50.59
2026-06-18 11:36:50.679996,55.32
2026-06-18 11:36:50.694576,43.1
2026-06-18 11:36:50.697400,17.01
2026-06-18 11:36:50.697400,-22.87
2026-06-18 11:36:50.713240,-34.7
2026-06-18 11:36:50.723124,18.21
2026-06-18 11:36:50.733451,96.73
2026-06-18 11:36:50.735506,106.19
2026-06-18 11:36:50.746537,40.99
2026-06-18 11:36:50.746537,-23.89
2026-06-18 11:36:50.763936,-23.77
2026-06-18 11:36:50.763936,4.2
2026-06-18 11:36:50.779833,-2.78
2026-06-18 11:36:50.779833,-25.65
2026-06-18 11:36:50.795983,-15.57
